rok_szkolny,semestr,Dziennik,liczba_uczniow,liczba_odstajacych,frekwencja_z_odstajacymi,frekwencja_bez_odstajacych,pct_odstajacych
2022/2023,II,4TMR,23.0,0.0,44.0,44.0,0.0
2022/2023,II,4TR,17.0,1.0,57.3,58.7,5.9
2022/2023,II,4TŻ,20.0,0.0,58.3,58.3,0.0
2023/2024,I,1M,22.0,1.0,75.9,77.3,4.5
2023/2024,I,1TMR,25.0,1.0,85.5,86.8,4.0
2023/2024,I,1TR,26.0,0.0,80.8,80.8,0.0
2023/2024,I,1TW,25.0,0.0,84.1,84.1,0.0
2023/2024,I,1TŻ,29.0,2.0,85.6,87.3,6.9
2023/2024,I,2MK,31.0,1.0,72.7,74.0,3.2
2023/2024,I,2TM5,22.0,0.0,78.0,78.0,0.0
2023/2024,I,2TR5,15.0,0.0,80.5,80.5,0.0
2023/2024,I,2TW5,23.0,0.0,83.0,83.0,0.0
2023/2024,I,2TŻ5,22.0,2.0,81.3,83.8,9.1
2023/2024,I,3M,13.0,0.0,61.8,61.8,0.0
2023/2024,I,3RŻ5,26.0,1.0,77.0,79.3,3.8
2023/2024,I,3TM5,23.0,1.0,77.4,78.6,4.3
2023/2024,I,3TW5,22.0,0.0,80.1,80.1,0.0
2023/2024,I,4TM5,18.0,0.0,75.0,75.0,0.0
2023/2024,I,4TW5,13.0,0.0,81.2,81.2,0.0
2023/2024,I,4TŻ5,12.0,1.0,68.4,70.5,8.3
2023/2024,I,5RŻ5,29.0,0.0,67.2,67.2,0.0
2023/2024,I,5TM5,22.0,1.0,82.2,83.5,4.5
2023/2024,II,1M,24.0,2.0,62.3,67.7,8.3
2023/2024,II,1TMR,24.0,0.0,71.9,71.9,0.0
2023/2024,II,1TR,22.0,0.0,71.7,71.7,0.0
2023/2024,II,1TW,25.0,0.0,72.4,72.4,0.0
2023/2024,II,1TŻ,29.0,1.0,76.8,77.8,3.4
2023/2024,II,2MK,33.0,1.0,59.3,60.8,3.0
2023/2024,II,2TM5,21.0,0.0,68.2,68.2,0.0
2023/2024,II,2TR5,15.0,3.0,67.4,70.5,20.0
2023/2024,II,2TW5,23.0,1.0,68.0,69.2,4.3
2023/2024,II,2TŻ5,22.0,0.0,69.0,69.0,0.0
2023/2024,II,3M,13.0,0.0,58.7,58.7,0.0
2023/2024,II,3RŻ5,26.0,0.0,65.7,65.7,0.0
2023/2024,II,3TM5,23.0,0.0,59.0,59.0,0.0
2023/2024,II,3TW5,22.0,1.0,70.4,72.1,4.5
2023/2024,II,4TM5,18.0,1.0,53.7,55.0,5.6
2023/2024,II,4TW5,13.0,2.0,74.9,82.3,15.4
2023/2024,II,4TŻ5,12.0,0.0,62.3,62.3,0.0
2023/2024,II,5RŻ5,29.0,0.0,54.9,54.9,0.0
2023/2024,II,5TM5,22.0,1.0,61.4,62.9,4.5
2024/2025,I,1M,15.0,1.0,71.3,75.7,6.7
2024/2025,I,1RŻ,18.0,1.0,78.9,80.8,5.6
2024/2025,I,1TMR,19.0,0.0,85.7,85.7,0.0
2024/2025,I,1TW,19.0,1.0,83.0,85.5,5.3
2024/2025,I,2M,22.0,0.0,72.1,72.1,0.0
2024/2025,I,2TMR,25.0,0.0,79.9,79.9,0.0
2024/2025,I,2TR,20.0,0.0,80.1,80.1,0.0
2024/2025,I,2TW,25.0,0.0,77.6,77.6,0.0
