Dziennik,Data,Wpis,Liczba
1RŻ,2024-12-13,nieobecność,16
1RŻ,2024-12-17,nieobecność,16
1RŻ,2024-12-18,nieobecność,2
1RŻ,2025-01-08,nieobecność,12
1RŻ,2025-01-10,spóźnienie,2
1RŻ,2025-01-14,spóźnienie,6
1RŻ,2025-01-15,nieob. uspraw.,30
1RŻ,2025-01-23,nieobecność,4
1RŻ,2025-01-27,nieobecność,14
1RŻ,2025-02-17,nieobecność,17
1RŻ,2025-02-19,nieobecność,8
1RŻ,2025-02-20,nieobecność,11
1RŻ,2025-02-20,nieob. uspraw.,1
1RŻ,2025-02-21,nieobecność,20
1RŻ,2025-02-25,spóźnienie,1
1RŻ,2025-02-26,nieob. uspraw.,14
1RŻ,2025-02-27,nieob. uspraw.,12
1RŻ,2025-03-03,nieobecność,7
1RŻ,2025-03-04,nieobecność,11
1RŻ,2025-03-10,nieobecność,11
1RŻ,2025-03-11,nieobecność,6
1RŻ,2025-03-24,spóźnienie,1
1RŻ,2025-03-26,spóźnienie,1
1RŻ,2025-03-27,nieob. uspraw.,1
1RŻ,2025-04-01,spóźnienie,1
1RŻ,2025-04-01,nieobecność,4
1RŻ,2025-04-02,nieobecność,4
1RŻ,2025-04-03,nieobecność,5
1RŻ,2025-04-15,spóźnienie,7
1RŻ,2025-04-16,spóźnienie,5
1RŻ,2025-04-24,nieobecność,8
1RŻ,2025-04-29,nieob. uspraw.,7
1RŻ,2025-04-29,nieobecność,3
1RŻ,2025-06-13,nieobecność,7
1RŻ,2025-06-16,obecność,33
1RŻ,2025-06-16,nieobecność,7
1RŻ,2025-06-17,nieobecność,8
1RŻ,2025-06-18,nieobecność,8
1RŻ,2025-06-23,obecność,9
1RŻ,2025-06-23,nieobecność,63
1RŻ,2025-06-24,nieobecność,56
1RŻ,2025-06-25,nieobecność,64
1RŻ,2025-06-26,nieobecność,70
1RŻ,2025-06-27,nieob. uspr. p.s.,10
1RŻ,2025-06-27,,10
1RŻ,2024-09-20,obecność,33
1RŻ,2024-10-01,nieob. uspraw.,35
1RŻ,2024-10-08,nieob. uspr. p.s.,5
1RŻ,2024-10-10,nieob. uspraw.,1
1RŻ,2024-10-16,nieob. uspr. p.s.,6
1RŻ,2024-10-24,nieob. uspraw.,29
1RŻ,2024-10-25,nieob. uspraw.,20
1RŻ,2024-11-06,nieob. uspraw.,12
1RŻ,2024-11-19,nieob. uspraw.,38
1RŻ,2024-11-20,nieob. uspraw.,20
1RŻ,2024-11-21,nieob. uspraw.,26
1RŻ,2024-11-22,nieob. uspraw.,38
1RŻ,2024-11-28,nieob. uspr. p.s.,18
1RŻ,2024-12-02,nieob. uspraw.,8
1RŻ,2024-12-05,nieob. uspraw.,20
1RŻ,2024-12-19,nieob. uspraw.,16
1RŻ,2025-01-09,nieob. uspr. p.s.,7
1RŻ,2025-01-10,nieob. uspr. p.s.,3
1RŻ,2025-01-24,nieob. uspraw.,19
1RŻ,2025-01-28,nieob. uspraw.,18
1RŻ,2025-02-18,nieob. uspr. p.s.,6
1RŻ,2025-02-24,obecność,62
1RŻ,2025-03-06,nieob. uspraw.,17
1RŻ,2025-03-12,nieob. uspraw.,36
1RŻ,2025-03-17,nieob. uspraw.,30
1RŻ,2025-03-18,nieob. uspr. p.s.,3
1RŻ,2025-03-21,obecność,36
1RŻ,2025-03-21,nieob. uspr. p.s.,39
1RŻ,2025-03-28,nieob. uspraw.,16
1RŻ,2025-03-31,nieob. uspraw.,18
1RŻ,2025-04-03,nieob. uspraw.,8
1RŻ,2025-04-04,nieob. uspraw.,18
1RŻ,2025-04-07,nieob. uspraw.,18
1RŻ,2025-04-08,nieob. uspraw.,13
1RŻ,2025-04-10,nieob. uspraw.,35
1RŻ,2025-04-11,nieob. uspraw.,25
1RŻ,2025-04-14,nieob. uspraw.,34
1RŻ,2025-05-13,nieob. uspraw.,18
1RŻ,2025-05-15,nieob. uspraw.,28
1RŻ,2025-05-26,obecność,70
1RŻ,2025-05-28,nieob. uspr. p.s.,3
1RŻ,2025-05-30,nieob. uspraw.,29
1RŻ,2025-06-03,nieob. uspraw.,22
1RŻ,2025-06-12,obecność,41
1RŻ,2025-06-13,obecność,31
1RŻ,2025-06-13,nieob. uspraw.,29
1RŻ,2025-06-17,obecność,31
1RŻ,2025-06-17,nieob. uspraw.,23
1RŻ,2025-06-18,nieob. uspraw.,64
1RŻ,2024-09-11,nieob. uspraw.,29
1RŻ,2024-09-12,nieob. uspraw.,10
1RŻ,2024-09-20,nieob. uspraw.,21
1RŻ,2024-09-24,nieob. uspraw.,12
1RŻ,2024-10-02,nieobecność,5
1RŻ,2024-10-04,nieob. uspraw.,15
1RŻ,2024-10-21,nieob. uspraw.,17
1RŻ,2024-10-23,nieob. uspraw.,22
1RŻ,2024-11-15,nieob. uspraw.,33
1RŻ,2025-01-20,nieob. uspraw.,31
1RŻ,2025-01-31,nieob. uspraw.,34
1RŻ,2025-03-07,nieob. uspraw.,28
1RŻ,2025-03-20,nieob. uspr. p.s.,10
1RŻ,2025-04-24,nieob. uspraw.,26
1RŻ,2025-05-12,nieob. uspraw.,34
1RŻ,2025-05-14,nieob. uspraw.,16
1RŻ,2025-05-16,nieob. uspraw.,21
1RŻ,2025-05-20,nieob. uspr. p.s.,6
1RŻ,2025-05-22,nieob. uspraw.,6
1RŻ,2025-05-27,nieob. uspraw.,25
1RŻ,2025-05-29,nieob. uspraw.,11
1RŻ,2025-06-02,nieob. uspraw.,13
1RŻ,2025-06-03,nieob. uspr. p.s.,5
1RŻ,2025-06-05,nieob. uspraw.,11
1RŻ,2025-06-06,nieob. uspraw.,8
1RŻ,2025-06-10,nieob. uspr. p.s.,8
1RŻ,2025-06-11,nieob. uspraw.,25
1RŻ,2025-06-12,nieob. uspraw.,15
1RŻ,2025-06-12,nieob. uspr. p.s.,2
1RŻ,2025-06-16,nieob. uspraw.,40
1RŻ,2024-09-13,nieob. uspraw.,12
1RŻ,2024-09-30,nieob. uspraw.,16
1RŻ,2024-10-03,nieob. uspraw.,21
1RŻ,2024-10-18,nieob. uspraw.,15
1RŻ,2024-11-14,nieob. uspraw.,8
1RŻ,2024-11-18,nieob. uspraw.,15
1RŻ,2024-11-25,nieob. uspraw.,28
1RŻ,2024-11-26,nieob. uspraw.,15
1RŻ,2024-11-27,nieob. uspraw.,9
1RŻ,2024-11-28,nieob. uspraw.,13
1RŻ,2024-11-29,spóźnienie,1
1RŻ,2024-12-20,nieob. uspraw.,31
1RŻ,2025-01-07,nieob. uspraw.,21
1RŻ,2025-01-13,nieob. uspraw.,16
1RŻ,2025-02-21,nieob. uspraw.,5
1RŻ,2025-03-17,spóźnienie,2
1RŻ,2025-03-26,nieob. uspraw.,2
1RŻ,2025-04-23,nieob. uspraw.,16
1RŻ,2025-04-25,nieob. uspraw.,26
1RŻ,2025-06-06,spóźnienie,3
1RŻ,2024-10-11,nieob. uspraw.,7
1RŻ,2024-10-30,spóźnienie,1
1RŻ,2024-10-30,nieob. uspr. p.s.,2
1RŻ,2024-10-31,nieob. uspr. p.s.,2
1RŻ,2024-12-05,nieob. uspr. p.s.,3
1RŻ,2024-12-06,nieob. uspraw.,4
1RŻ,2024-12-17,nieob. uspr. p.s.,3
1RŻ,2025-01-31,spóźnienie,2
1RŻ,2025-02-28,nieob. uspr. p.s.,1
1RŻ,2025-03-05,nieob. uspr. p.s.,4
1RŻ,2025-03-06,nieob. uspr. p.s.,1
1RŻ,2025-03-07,nieob. uspr. p.s.,6
1RŻ,2025-03-12,nieob. uspr. p.s.,7
1RŻ,2025-03-13,nieob. uspraw.,8
1RŻ,2025-03-13,nieob. uspr. p.s.,1
1RŻ,2025-03-26,nieob. uspr. p.s.,5
1RŻ,2025-03-27,nieob. uspr. p.s.,4
1RŻ,2025-04-04,nieob. uspr. p.s.,12
1RŻ,2025-04-16,nieob. uspraw.,27
1RŻ,2025-04-24,nieob. uspr. p.s.,2
1RŻ,2025-04-29,nieob. uspr. p.s.,8
1RŻ,2025-05-07,nieob. uspraw.,8
1RŻ,2025-05-08,nieob. uspraw.,5
1RŻ,2025-05-08,nieob. uspr. p.s.,1
1RŻ,2025-05-09,nieob. uspraw.,5
1RŻ,2024-09-09,nieob. uspraw.,12
1RŻ,2024-09-10,nieob. uspraw.,8
1RŻ,2024-10-25,nieob. uspr. p.s.,1
1RŻ,2024-11-18,obecność,1
1RŻ,2024-11-29,nieob. uspraw.,2
1RŻ,2024-12-03,nieob. uspraw.,14
1RŻ,2024-12-04,nieob. uspraw.,8
1RŻ,2024-12-12,nieob. uspraw.,6
1RŻ,2024-12-13,nieob. uspraw.,13
1RŻ,2024-12-16,nieob. uspraw.,9
1RŻ,2025-01-08,nieob. uspraw.,12
1RŻ,2025-01-09,nieob. uspraw.,12
1RŻ,2025-01-10,nieob. uspraw.,22
1RŻ,2025-01-21,nieob. uspraw.,7
1RŻ,2025-03-14,nieob. uspraw.,9
1RŻ,2025-03-19,nieob. uspraw.,18
1RŻ,2025-03-21,nieob. uspraw.,35
1RŻ,2025-04-15,nieob. uspraw.,14
1RŻ,2024-09-05,nieob. uspraw.,16
1RŻ,2024-09-06,nieob. uspraw.,12
1RŻ,2024-09-23,nieob. uspraw.,9
1RŻ,2024-09-25,nieob. uspraw.,7
1RŻ,2024-10-22,nieob. uspraw.,18
1RŻ,2024-10-30,spóźn. uspr.,1
1RŻ,2024-11-06,nieob. uspr. p.s.,3
1RŻ,2024-11-07,nieob. uspr. p.s.,1
1RŻ,2024-11-13,nieob. uspr. p.s.,8
1RŻ,2025-01-14,zwolniony,2
1RŻ,2025-01-17,nieob. uspraw.,31
1RŻ,2025-01-22,nieob. uspr. p.s.,1
1RŻ,2025-01-29,nieob. uspraw.,9
1RŻ,2025-01-30,nieob. uspraw.,17
1RŻ,2025-03-24,nieob. uspr. p.s.,1
1RŻ,2025-03-25,nieob. uspr. p.s.,3
1RŻ,2025-03-25,nieob. uspraw.,17
1RŻ,2025-04-07,nieob. uspr. p.s.,1
1RŻ,2025-04-30,nieob. uspr. p.s.,2
1RŻ,2025-05-14,nieob. uspr. p.s.,2
1RŻ,2025-05-19,nieob. uspraw.,24
1RŻ,2025-05-20,nieob. uspraw.,8
1RŻ,2025-05-26,nieob. uspr. p.s.,1
1RŻ,2025-05-27,nieob. uspr. p.s.,1
1RŻ,2025-05-28,spóźnienie,1
1RŻ,2025-05-29,nieob. uspr. p.s.,1
1RŻ,2025-06-09,nieob. uspr. p.s.,1
1RŻ,2025-06-11,nieob. uspr. p.s.,2
1RŻ,2024-09-12,spóźnienie,3
1RŻ,2024-09-17,nieob. uspr. p.s.,2
1RŻ,2024-09-18,spóźnienie,4
1RŻ,2024-09-23,spóźnienie,2
1RŻ,2024-09-26,nieob. uspraw.,1
1RŻ,2024-11-07,nieob. uspraw.,3
1RŻ,2025-01-24,obecność,15
1RŻ,2025-03-20,nieob. uspraw.,7
1RŻ,2025-03-27,nieobecność,4
1RŻ,2025-06-04,nieob. uspraw.,16
1RŻ,2024-10-17,nieobecność,8
1RŻ,2024-12-03,zwolniony,1
1RŻ,2025-04-08,nieob. uspr. p.s.,4
1RŻ,2025-04-10,nieobecność,2
1RŻ,2025-05-21,nieob. uspraw.,7
1RŻ,2025-05-30,spóźnienie,1
1RŻ,2024-09-17,spóźnienie,3
1RŻ,2024-10-10,nieobecność,1
1RŻ,2024-11-26,spóźnienie,3
1RŻ,2024-12-12,nieobecność,3
1RŻ,2024-12-16,nieobecność,8
1RŻ,2025-02-25,nieobecność,6
1RŻ,2025-05-07,nieob. uspr. p.s.,2
1RŻ,2024-09-27,nieob. uspraw.,13
1RŻ,2024-09-30,spóźnienie,2
1RŻ,2024-11-04,nieob. uspraw.,8
1RŻ,2024-12-17,spóźnienie,2
1RŻ,2025-01-07,spóźnienie,2
1RŻ,2025-01-21,spóźnienie,1
1RŻ,2025-04-09,spóźnienie,1
1RŻ,2024-09-19,nieob. uspraw.,7
1RŻ,2024-10-23,spóźnienie,1
1RŻ,2024-11-04,spóźnienie,1
1RŻ,2024-11-15,spóźnienie,1
1RŻ,2025-01-22,nieob. uspraw.,8
1RŻ,2025-01-23,nieob. uspraw.,5
1RŻ,2025-03-05,nieob. uspraw.,11
1RŻ,2025-03-18,spóźnienie,1
